"","ID_REF"
"1","10019475365"
"2","10019481149"
"3","10019495284"
"4","10019687586"
"5","10019713746"
"6","10019799479"
"7","10019809115"
"8","10019874890"
"9","10019903058"
"10","10019909307"
"11","10019911222"
"12","10019924807"
"13","10019927856"
"14","10019932383"
"15","10019948931"
"16","10019975533"
"17","10019977224"
"18","10019977227"
"19","10019987588"
"20","10020008603"
"21","10020014121"
"22","10020044367"
"23","10020044569"
"24","10020049808"
"25","10020060841"
"26","10020067638"
"27","10020082717"
"28","10020084138"
"29","10020109481"
"30","10020124385"
"31","10020134015"
"32","10020140475"
"33","10020162607"
"34","10020166212"
"35","10020192767"
"36","10020216227"
"37","10020228202"
"38","10020228490"
"39","10020230502"
"40","10020234675"
"41","10020272110"
"42","10023804644"
"43","10023804647"
"44","10023804649"
"45","10023804650"
"46","10023804651"
"47","10023804653"
"48","10023804655"
"49","10023804656"
"50","10023804657"
"51","10023804663"
"52","10023804666"
"53","10023804668"
"54","10023804671"
"55","10023804672"
"56","10023804676"
"57","10023804678"
"58","10023804679"
"59","10023804682"
"60","10023804685"
"61","10023804689"
"62","10023804690"
"63","10023804691"
"64","10023804695"
"65","10023804696"
"66","10023804698"
"67","10023804700"
"68","10023804701"
"69","10023804704"
"70","10023804710"
"71","10023804713"
"72","10023804717"
"73","10023804720"
"74","10023804723"
"75","10023804727"
"76","10023804730"
"77","10023804732"
"78","10023804733"
"79","10023804736"
"80","10023804737"
"81","10023804739"
"82","10023804740"
"83","10023804742"
"84","10023804746"
"85","10023804750"
"86","10023804752"
"87","10023804755"
"88","10023804762"
"89","10023804764"
"90","10023804767"
"91","10023804768"
"92","10023804772"
"93","10023804773"
"94","10023804778"
"95","10023804779"
"96","10023804780"
"97","10023804781"
"98","10023804783"
"99","10023804784"
"100","10023804785"
"101","10023804787"
"102","10023804789"
"103","10023804792"
"104","10023804793"
"105","10023804794"
"106","10023804796"
"107","10023804798"
"108","10023804799"
"109","10023804800"
"110","10023804801"
"111","10023804804"
"112","10023804805"
"113","10023804807"
"114","10023804814"
